Age,Gender,Edu_Level,Edu_Years,Martial_Status,Disabled
35,0,4,12,4,1
67,0,5,15,4,1
61,1,4,,4,0
48,0,4,,1,0
70,1,7,,2,0
57,0,4,12,5,0
47,0,5,14,4,0
70,0,6,16,4,1
33,0,6,16,1,1
70,0,6,16,4,1
26,0,4,,5,1
62,0,8,20,1,1
58,0,4,,5,1
38,0,5,14,1,0
32,0,4,14,1,1
66,0, ,,4,0
23,0,5,14,5,0
53,0,4,12,1,1
29,0,5,12,4,0
72,0,4,13,4,0
67,0,5,,1,0
57,1,8,24,1,1
26,0,8,,5,0
46,0,4,14,1,0
63,0,3,12,3,1
54,0,4,13,1,1
42,0,4,14,1,1
64,0,5,,4,1
45,0,4,14,1,0
58,0,6,16,5,1
59,0,8,15,1,0
64,0,5,,1,1
49,0,6,,1,0
34,0,4,12,1,1
33,0,5,15,5,0
31,0,4,13,4,0
27,0,5,,5,0
30,1,7,16,1,1
41,0,4,13,1,0
61,0,6,16,1,0
63,0,4,13,1,0
64,0,3,,1,1
51,1,6,18,2,1
71, ,4,14,5,0
32,0,4,12,1,0
28,0,5, ,4,1
67,0,4,,5,0
39,0,8, ,1,0
43,0,4,14,4,1
62,0,4,12,1,0
71,0,5, ,4,0
45,0,4, ,4,0
74,0,7,22,1,0
36,1,4,14,1,1
27,0,5, ,4,1
48,0,4, ,1,1
22,0,4,14,5,0
57,0,5,14,1,1
64, ,3,12,1,0
23,0, ,42,1,1
45,0,4,13,1,1
67,0,7, ,4,1
49,0,8, ,1,1
51,0,3, ,1,0
55,1,5, ,1,0
48,0,5,14,5,0
40,0,4, ,5,0
58,0,2,12,4,1
67,0,5,14,1,0
41,1,6,16,1,0
71,0,5, ,4,0
64,0,3,12,4,1
58,0,4,13,1,0
59,0,4, ,5,1
46,0,3,,1,1
64,0,6,14,5,1
55,0,4,12,4,1
70,0,5,14,4,0
47,1,7,19,5,1
70,0,7,18,1,0
48,0,4, ,1,1
60,0,4,16,4,0
30,0,4,16,5,0
53,0,3,12+,1,1
55,0,3,12,4,1
26,0,3, ,5,0
91,0,8,23,1,1
69,0,5,14,4,0
35,0,5,15,1,1
71,0,5,14,4,0
