How long-years,How long-months,How often currently use,How much use per week
0,6,5,1
2,3,8,6
41,0,5,3
30,0,9,6
50,0,9,4
48,6,8,7
30,0,5,4
3,2,9,6
49,0,6,6
0,6,9,7
12,0,9,7
40,3,7,5
0,2,5,5
6,0,7,4
20,0,6,5
2,0,6,2
10,0,7,5
6,8,8,3
50,0,8,6
40,0,6,3
5,0,8,5
14,0,9,5
15,0,5,3
46,2,9,5
1,2,6,3
1,2,5,4
20,12,9,5
25,0,6,5
5,0,5,4
42,2,7,4
4,0,3,1
35,0,8,5
3,0,7,6
11,0,7,3
9,0,8,5
1,0,5,4
7,0,6,5
40,0,7,5
50,0,9,5
35,0,8,6
0,4,6,7
3,0,5,1
5,6,9,6
2,0,7,7
40,0,5,1
5,0,2,1
0,6,5,3
45,0,9,7
40,8,9,7
10,0,7,1
20,0,4,4
10,3,8,5
3,0,8,7
40,0,8,6
9,0,9,7
2,0,5,1
2,6,9,5
1,8,9,4
5,0,6,3
41,0,9,5
30,0,9,7
33,0,5,5
48,0,8,6
47,2,9,6
25,3,9,4
42,0,9,7
50,0,6,3
40,0,9,5
46,0,7,6
15,0,7,6
51,1,6,5
2,5,7,4
5,0,6,4
0,6,9,4
0,44,6,3
75,0,5,3
40,0,4,1
5,0,8,5
55,0,9,7
